Date,AAPL,MSFT,NVDA,GOOGL,JPM,BAC,GS,UNH,JNJ,LLY,XOM,CVX,SPY,BND
2021-09-07,152.83090209960938,288.09088134765625,22.562620162963867,142.92051696777344,140.48789978027344,36.559173583984375,363.4934387207031,385.85845947265625,149.86279296875,243.4936981201172,45.77984619140625,79.42998504638672,421.9483337402344,72.87811279296875
2021-09-08,151.289794921875,288.11968994140625,22.24104118347168,142.33656311035156,139.8614044189453,36.081382751464844,358.7804870605469,380.4999084472656,149.4975128173828,243.53189086914062,45.3602294921875,78.88166809082031,421.4343566894531,72.9966812133789
2021-09-09,150.27542114257812,285.2788391113281,22.07974624633789,142.18800354003906,140.47024536132812,36.214107513427734,358.40838623046875,379.73052978515625,146.16664123535156,229.3504180908203,45.39379119873047,78.56251525878906,419.6304931640625,73.25928497314453
2021-09-10,145.30105590820312,283.8009033203125,22.37942886352539,139.548095703125,138.85549926757812,35.63015365600586,357.4339599609375,371.2828063964844,145.2100067138672,228.8726043701172,45.301483154296875,78.61981201171875,416.3218994140625,73.08139038085938
2021-09-13,145.86676025390625,285.02935791015625,22.054853439331055,140.9908905029297,141.06146240234375,36.22294998168945,362.5543518066406,381.03582763671875,144.1924591064453,227.4009246826172,46.468013763427734,80.17469024658203,417.3873596191406,73.1915283203125
2021-09-14,144.4720001220703,287.7167053222656,22.14446449279785,141.20086669921875,138.59957885742188,35.249691009521484,357.6199951171875,379.2156982421875,143.32281494140625,222.74700927734375,45.805030822753906,78.72618865966797,415.1349182128906,73.36941528320312
2021-09-15,145.3595733642578,292.5441589355469,22.243032455444336,143.068115234375,139.56141662597656,35.51513671875,356.0785827636719,383.7933654785156,143.8620147705078,223.35862731933594,47.34920120239258,80.3956527709961,418.6024169921875,73.30166625976562
2021-09-16,145.1254425048828,292.9279479980469,22.14446449279785,142.25634765625,139.4996337890625,35.78940963745117,351.40997314453125,383.1683349609375,143.68809509277344,220.7879638671875,46.84565734863281,79.64278411865234,417.9388427734375,73.16609954833984
2021-09-17,142.46270751953125,287.7933654785156,21.8039608001709,139.47280883789062,139.13783264160156,35.83365249633789,346.78570556640625,386.22021484375,143.27935791015625,219.8897247314453,46.291778564453125,79.1844711303711,413.8676452636719,73.07292938232422
2021-09-20,139.41957092285156,282.44775390625,21.020416259765625,137.4119110107422,134.97291564941406,34.60380172729492,334.9770202636719,379.3627624511719,142.46185302734375,221.36134338378906,45.058101654052734,77.56413269042969,406.966796875,73.27627563476562
